,name,keyword,additional_regex,category,subcategory,location,year,funding,website,summary
495,CausaLens,causalens,,Machine Learning & Artificial Intelligence,Enterprise ML Platforms,United Kingdom,2017,$51M,https://www.causalens.com/,"causaLens builds Causal AI-powered products that are trusted by organizations across a wide range of industries. Its No-Code Causal AI Platform empowers all types of users to make decisions through an intuitive user interface.
"
1319,CB Insights,cb insights,,Data Sources & APIs,Financial & Market Data,United States,2008,$16.17M,https://www.cbinsights.com/,"CB Insights is a data and SaaS company that provides data, insights, predictions, and workflow tools to enterprises to help them understand and make technology decisions. Using machine learning, CB Insights aims to extract structured data from millions of unstructured documents (media, regulatory docs) to analyze, synthesize, and visualize information on technology companies, technology markets, their investors, and the larger technology ecosystem. CB Insights was founded in 2008 and is based in New York, New York."
1116,Cdap,cdap,,Open Source Infrastructure,Frameworks,,,,https://github.com/cdapio/cdap,"An open source framework for building data analytic applications.
"
153,Cdata,cdata,,Infrastructure,ETL/ELT/Data Transformation,United States,2016,$160M,https://www.cdata.com/,"CData Software provides data access and connectivity solutions. CData Software specializes in the development of drivers and data access technologies for real-time access to online or on-premise applications, databases, and Web APIs.
"
197,Celigo,celigo,,Infrastructure,Data Integration,United States,2005,$79.83M,https://www.celigo.com/,"Celigo offers iPaaS integration that can be used to easily and quickly create customized integrations using intuitive wizards to guide business and IT users. Celigo's Integration Apps (formerly SmartConnectors) are prebuilt, full integrations between multiple applications, such as NetSuite, Salesforce, Shopify, Amazon, Jira, Zendesk, and many other popular applications.
"
781,Celonis,celonis,,Applications - Enterprise,Automation & Operations,Germany,2011,$2367.5M,https://www.celonis.com/,"Celonis offers a process mining tool for analyzing and visualizing business processes. It helps organizations understand and improve operational process flows for business transformation. The company was founded in 2011 and is based in Munich, Germany."
181,Census,census,,Infrastructure,Reverse ETL,United States,2018,$80.3M,https://www.getcensus.com/,"Census is a data automation platform that syncs data warehouses with relevant apps.
"
645,Cerebras,cerebras,,Machine Learning & Artificial Intelligence,AI Hardware,United States,2016,$718M,https://www.cerebras.net/,"Cerebras is a computer systems company dedicated to accelerating deep learning. The Wafer-Scale Engine (WSE), is at the heart of the deep learning system, the Cerebras CS-1. The WSE delivers more computing more memory, and more communication bandwidth. This enables AI research at high speeds and scale."
434,Chainalysis,chainalysis,,Analytics,Crypto & Web 3 Analytics,United States,2014,$536.72M,https://www.chainalysis.com/,"Chainalysis offers cryptocurrency investigation and compliance solutions to government agencies, exchanges, financial institutions, and insurance and cybersecurity companies globally. Its products include Chainalysis Business Data, on-chain customer intelligence for cryptocurrency businesses; Chainalysis KYT, an automated cryptocurrency transaction monitoring software; and Chainalysis Kryptos, a reference directory for cryptocurrency services' on-chain activity. The company also offers Chainalysis Maket Intel that provides on-chain metrics on the trading, demand, supply, generation, and risk of cryptocurrencies and Chainalysis Reactor, an investigation software for tracking flow of funds across blockchains. Chainalysis was founded in 2014 and is based in New York, New York"
1242,Chainer,chainer,,Open Source Infrastructure,AI Frameworks & Libraries,,,,https://github.com/chainer/chainer,"A flexible framework of neural networks for deep learning
"
439,ChaosSearch,chaossearch,,Analytics,Enterprise Search,United States,2017,$50.68M,https://www.chaossearch.io/,"ChaosSearch is a cloud-based log management and analytics service that extends the power of ELK directly onto AWS S3, providing access to long term data."
151,Chiselstrike,chiselstrike,,Infrastructure,Database Abstraction,Canada,2021,$7.1M,https://chiselstrike.com/,"ChiselStrike offers a data platform that allows frontend developers to easily build, customize, and scale their own backend infrastructure without having specialized, backend-specific knowledge. The company was founded in 2021 and is based in Kitchener, Ontario."
568,Chooch,chooch,,Machine Learning & Artificial Intelligence,Computer Vision,United States,2015,,https://www.chooch.com/,"Chooch is a software development company providing an artificial intelligence vision platform. The platform detects images, pictures, and patterns of images and takes action accordingly and has various applications such as workplace safety, satellite image analysis, procedure detection in operating rooms, and image quality control. It serves the manufacturing, safety and security, retail, healthcare, and oil and gas industries. The company was founded in 2015 and is based in San Mateo, California."
285,Chronosphere,chronosphere,,Infrastructure,MGMT/Monitoring,United States,2019,$370.34M,https://chronosphere.io/,"Chronosphere provides an observability platform that helps engineering organizations by taming rampant data growth and cloud-native complexity. The platform offers SaaS monitoring solutions for limited data retention and wasted engineering time debugging monitoring issues, cloud-native monitoring, and more solutions. The company was founded in 2019 and is based in Issaquah, Washington."
275,Cisco AppDynamics,cisco appdynamics,,Infrastructure,MGMT/Monitoring,United States,2008,$414.5M,https://www.appdynamics.com/,"AppDynamics is a provider of Software-as-Service (SaaS) and on-premise application performance management for modern application architectures in both the cloud and the data center. The company delivers solutions for highly distributed and agile environments, helping companies monitor, troubleshoot, diagnose, and scale production applications. AppDynamics has combined its technology platform with an ""easy-to-use"" approach which enables Development and Operations teams to be up and running on AppDynamics within minutes.
"
415,Cisco AppDynamics,cisco appdynamics,,Analytics,Log Analytics,United States,2008,$414.5M,https://www.appdynamics.com/,"AppDynamics is a provider of Software-as-Service (SaaS) and on-premise application performance management for modern application architectures in both the cloud and the data center. The company delivers solutions for highly distributed and agile environments, helping companies monitor, troubleshoot, diagnose, and scale production applications. AppDynamics has combined its technology platform with an ""easy-to-use"" approach which enables Development and Operations teams to be up and running on AppDynamics within minutes.
"
1140,Ckan,ckan,,Open Source Infrastructure,Data Access,,,,https://github.com/ckan/ckan,"CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers catalog.data.gov, [open.canada.ca/data](http://open.canada.ca/data), data.humdata.org among many other sites.
"
697,Clari,clari,,Applications - Enterprise,Sales,United States,2012,$496M,https://www.clari.com/,"Clari is a mobile-first sales productivity platform. Clari combines mobile, intuitive design and data science to help sales teams close deals faster, reduce manual reporting and gain insight into deal progress. With Clari, sales reps have a mobile, easy-to-use window into all their sources with content organized around the two things that matter most: their deals and their relationships. At the same time, managers and sales operations teams have their first real-time view into deal progress, allowing them to coach reps in time to exceed quarterly goals, assign sales support resources more effectively, and apply science and data to optimize sales practices.
"
566,Clarifai,clarifai,,Machine Learning & Artificial Intelligence,Computer Vision,United States,2013,$100.12M,https://www.clarifai.com/,"Clarifai is an artificial intelligence company that excels in visual recognition, solving real-world problems for businesses and developers alike. Clarifai's image and video recognition technology is built on the most advanced machine learning systems and made easily accessible by a clean API, empowering developers all over the world to build a new generation of intelligent applications.
"
975,Clarify,clarify,,Applications - Industry,Healthcare,United States,2015,$389.94M,https://clarifyhealth.com/,"Clarify Health collects records of rendered healthcare in the United States for the purpose of providing more granular and precise analytics to healthcare organizations, spanning from providers to payers and life sciences. Clarify's software solutions are fueled by a patient-level data set and incorporate clinical, claim, prescription, lab and socio-behavioral determinants of health data. Its analytics platform is powered by a technology stack inspired by those used in banking and logistics and provides doctors and insurers greater visibility into cost, quality, referrals, utilization, and member risk. The company is also helping life sciences organizations analyze and integrate rich data to determine the optimal sites and designs for clinical trials as well as accelerate clinical developm
"
1367,Clarity AI,clarity ai,,Data Sources & APIs,ESG,Spain,2017,$89.11M,https://clarity.ai/,"Clarity is an enterprise SaaS tool for asset managers that visualizes and optimizes the social impact of their investment portfolios. Clarity tries to solve the problem of inefficient and unequal allocation of capital by developing a universal framework and an automated tool that can be readily applied to rate companies, projects, governments and NGOs.
"
700,Clearbit,clearbit,,Applications - Enterprise,Sales,United States,2014,$17M,https://clearbit.com/,"Clearbit provides a collection of APIs designed to help businesses grow by turning partial information into full contact data, looking up company data by domain name, helping with OFAC compliance and screening, and providing address auto-complete and verification.
"
560,Clearview.ai,clearview.ai,,Machine Learning & Artificial Intelligence,Computer Vision,United States,2017,$38.63M,https://www.clearview.ai/,"Clearview AI offers a facial recognition tool that uses photos scraped from different social media and websites.
"
1003,Cleerly,cleerly,,Applications - Industry,Healthcare,United States,2017,$266.55M,https://cleerlyhealth.com/,"Cleerly is a healthcare company that uses AI-powered imaging to analyze heart scans and whose mission is to create digital care pathways to prevent heart attacks. The company integrates clinical science with AI in order to offer clinical insights to every stakeholder in the heart care pathway. Through these data-driven solutions, it aims to provide a comprehensive solution for cardiovascular disease evaluation that offers great value to the healthcare system and improves heart health for patients at risk of heart attacks. The company was founded in 2017 and is based in New York, New York."
1359,CleverMaps,clevermaps,,Data Sources & APIs,Location Intelligence,Czech Republic,2015,,https://www.clevermaps.io/,"CleverMaps is a location intelligence platform supporting the data stack ecosystem. Its map-based analytics platform enables it to solve location-related problems. It also allows data analysts to build and maintain large location intelligence projects. It primarily serves clients across retail, insurance, banking, real estate, delivery services, and more. It was formerly known as CleverAnalytics and changed its name to CleverMaps. The company was founded in 2015 and is based in Brno, the Czech Republic."
111,Clickhouse,clickhouse,,Infrastructure,Real Time Databases,United States,2021,$300M,https://clickhouse.com/,"ClickHouse provides an open-source, column-oriented Online analytical processing (OLAP) database management system that allows users to generate analytical reports using SQL queries. The company was founded in 2021 and is based in Redwood City, California."
1162,ClickHouse,clickhouse,,Open Source Infrastructure,OLAP,,,,https://github.com/ClickHouse/ClickHouse,"ClickHouse® is a free analytics DBMS for big data
"
32,Cloudera,cloudera,,Infrastructure,Data Lakes/Lakehouses,United States,2008,$1041M,https://www.cloudera.com/,"Cloudera provides enterprise data management solutions that offer a unified platform for data, an enterprise data hub built on Apache Hadoop. It provides enterprises one place to store, process, and analyze all their data, empowering them to extend the value of existing investments while enabling fundamental new ways to derive value from their data.
"
506,CloudFactory,cloudfactory,,Machine Learning & Artificial Intelligence,Data Generation & Labelling,United Kingdom,2010,$77.3M,https://www.cloudfactory.com/,"CloudFactory creates economic and leadership opportunities for talented people in developing nations. It is a distributed labor platform offering human and machine intelligence. The company was founded in 2010 and is based in Reading, U.K."
15,Cloudflare,cloudflare,,Infrastructure,Storage,United States,2009,$332.07M,https://www.cloudflare.com/products/r2/,"Cloudflare offers services to help companies reduce latencies, including distributed denial of service (DDoS) attack mitigation and a content delivery network (CDN). The company uses technology to solve problems over the internet. Cloudflare was founded in 2009 and is based in San Franciso, California."
1074,CloudMinds,cloudminds,,Applications - Industry,Industrial & Logistics,China,2015,$472.3M,https://www.cloudminds.com/en,"CloudMinds is an artificial intelligence and cloud computing company specializing in cloud-based smart robotics, secure cloud networks, large AI machine learning platforms, and secure smart terminal and robot controller technologies.
"
16,Clumio,clumio,,Infrastructure,Storage,United States,2017,$186M,https://clumio.com/,"Clumio is a secure, backup as a service that consolidates the protection of an enterprise data center and any remote sites with no hardware or software to size, configure, manage - or even buy at all.
"
555,cnvrg.io,cnvrg.io,,Machine Learning & Artificial Intelligence,MLOps,Israel,2016,$8M,https://cnvrg.io/,"Cnvrg.io develops a service for managing, speeding up, and scaling data science workflows, enabling clients to quickly develop, test, deploy, and refine machine learning models. On November 4th 2020, Cnvrg.io was acquired by Intel at a valuation of $60M."
173,Coalesce,coalesce,,Infrastructure,ETL/ELT/Data Transformation,United States,2020,$31.92M,https://coalesce.io/,"Coalesce provides a data transformation platform that simplifies the modeling, cleansing, governance, and documentation of data by bringing efficiency and flexibility to the analytics landscape and increasing data engineer productivity and insights to tackle today’s data-intensive architectures. The company was founded in 2020 and is based in San Francisco, California."
465,Cocalc,cocalc,,Machine Learning & Artificial Intelligence,Data Science Notebooks,,,,https://cocalc.com/,"
"
104,Cockroach Labs,cockroach labs,,Infrastructure,NewSQL Databases,United States,2015,$632.85M,https://www.cockroachlabs.com/,"Cockroach Labs enables developers to build scalable applications that can survive datacenter-scale outages. With strong consistency and transactions, Cockroach Labs frees developers to focus on what matters, instead of engineering solutions to database shortcomings. The company was founded in 2015 and is based in New York, New York."
1150,Cockroach Labs,cockroach labs,,Open Source Infrastructure,Databases,,,,https://github.com/cockroachdb/cockroach,"CockroachDB - the open source, cloud-native distributed SQL database.
"
579,Cogito,cogito,,Machine Learning & Artificial Intelligence,Speech,United States,2007,$186.41M,https://cogitocorp.com/,"Cogito aims to enhance the emotional intelligence of phone workers through behavioral change software. It applies behavioral science through artificial intelligence and machine learning providing in-call guidance helping enterprises improve sales results, and deliver better customer experiences. The company was founded in 2007 and is based in Boston, Massachusetts."
1350,Cognism,cognism,,Data Sources & APIs,People/Entities,United Kingdom,2015,$116.8M,https://www.cognism.com/,"Cognism is an end-to-end sales-acceleration solution that provides sales organizations with a more efficient way to prospect. Delivered as a software service (SaaS), with its data asset and compliance engine, Cognism is helping to enrich CRM records, stream leads into the funnel, and is using artificial intelligence to surface opportunities and identify customer trends. The company was founded in 2015 and is based in Richmond, England."
1067,Cognite,cognite,,Applications - Industry,Industrial & Logistics,Norway,2016,$233.8M,https://www.cognite.com/en/,"Cognite provides a platform that liberates industrial data from separate, siloed systems and reveals the data in a structured and contextualized manner, presenting a full, virtual view of industrial reality - both past and present - made accessible and actionable for humans and machines. The company creates software for oil and gas, power and utilities, renewable energy, manufacturing and other asset-heavy industries. It was founded in 2016 and is based in Lysaker, Norway."
858,Cogram,cogram,,Applications - Horizontal,Text,United States,2021,$0.5M,https://www.cogram.com/,"Cogram lets anybody query databases without writing code. Users describe a question in plain English, and Cogram generates the matching database query. Cogram was founded in 2021 and is based in Brooklyn, New York."
598,Cohere,cohere,,Machine Learning & Artificial Intelligence,NLP,Canada,2019,$165M,https://cohere.ai/,"Cohere's mission is to build machines that understand the world and make them safely accessible to all by breaking the language barrier. The Cohere API provides access to models that read hundreds of millions of web pages and learn to understand the meaning, sentiment, and intent of the words people use.
"
9,Cohesity,cohesity,,Infrastructure,Storage,United States,2013,$660M,https://www.cohesity.com/,"Cohesity is a late-stage technology firm that develops an intelligent data platform that converges secondary storage workflows to transform disparate silos of data into business insight. Cohesity provides secondary storage services for data protection, development, and analytics by applying a distributed, web-scale architecture to break down these data silos. The firm serves a wide variety of industries including healthcare, telecom, technology, and IT. The firm was founded in 2013 and is based in San Jose, California."
304,Coiled,coiled,,Infrastructure,Compute,United States,2020,$26M,https://www.coiled.io/,"Coiled products ensure that data infrastructure scales at maximum speed, minimum cost, and with the Python tools data scientists already use. Coiled makes it easy for teams and organizations to collaborate and ensures reproducibility with data of any size and simplifies working in the cloud.
"
1308,Coinmetrics,coinmetrics,,Data Sources & APIs,Financial & Market Data,United States,2017,$57.9M,https://coinmetrics.io/,"Coin Metrics provides crypto asset market and network data. Its data empowers clients and the public to better understand, value, use, and steward open crypto networks. Coin Metrics was founded in 2017 and is based in Cambridge, Massachusetts."
213,Collibra,collibra,,Infrastructure,Data Governance & Catalog,Belgium,2008,$595.9M,https://www.collibra.com/us/en,"Collibra is a data governance and intelligence platform that helps businesses unlock insights from disparate data sources. The company offers various products that allow both technical and business users to collaborate and combine data silos to find hidden meaning in their wealth of information.
"
247,Collibra,collibra,,Infrastructure,Data Quality & Observability,Belgium,2008,$595.9M,https://www.collibra.com/us/en,"Collibra is a data governance and intelligence platform that helps businesses unlock insights from disparate data sources. The company offers various products that allow both technical and business users to collaborate and combine data silos to find hidden meaning in their wealth of information.
"
1022,Color,color,,Applications - Industry,Life Sciences,United States,2013,$496.04M,https://www.color.com/,"Color democratizes access to genetic information. The Color Test is physician-ordered and comes with complimentary board-certified genetic counseling for clients and healthcare providers. The 30-gene Color Test analyzes genes closely associated with some of the most common hereditary cancers: breast, colorectal, melanoma, ovarian, pancreatic, prostate, stomach, and uterine cancers."
912,Colossyan,colossyan,,Applications - Horizontal,Video Generation,Germany,2020,$1.4M,https://www.colossyan.com/,"Colossyan is a technology company that aims to create personalized videos and software for marketing, sales and customer success.
"
550,Comet,comet,,Machine Learning & Artificial Intelligence,MLOps,United States,2017,$70.17M,https://www.comet.com/site/,"Comet provides a self-hosted and cloud-based meta-machine learning platform allowing data scientists and teams to track, compare, explain, and optimize experiments and models. Comet was founded in 2017 and is based in New York, New York."
817,Compliance AI,compliance ai,,Applications - Enterprise,Regtech & Compliance,United States,2016,$13M,https://www.compliance.ai/,"Compliance.ai develops a Regulatory Change Management platform designed to mitigate risk, reduce costs, and increase confidence in compliance status for the banking, financial services, and insurance industries. Compliance.ai transforms the capabilities of compliance teams by delivering a simple-to-use, automated approach to monitoring and reacting to regulatory updates, identifying obligations, and ensuring required changes are completed in a timely manner. Through its flexible, intuitive platform, Compliance.ai helps compliance teams increase accuracy, improve productivity, and reduce compliance gaps. The company was formerly known as Jurispect. It was founded in 2016 and is based in San Francisco, California."
815,Comply Advantage,comply advantage,,Applications - Enterprise,Regtech & Compliance,United Kingdom,2014,$108.2M,https://complyadvantage.com/,"ComplyAdvantage helps firms make intelligent choices when complying with regulations relating to sanctions, money laundering (AML), terrorist financing (CFT), bribery, and corruption. Its database of individuals, organizations, and associated entities provides real-time insight into financial crime risks. ComplyAdvantage uses artificial intelligence, machine learning, and big data analytics combined with a tailored risk-based approach to help firms not only to manage their compliance and risk obligations, but also to prevent the occurrence of financial crime.
"
863,Compose.ai,compose.ai,,Applications - Horizontal,Text,United States,2020,$2.23M,https://www.compose.ai/,"Compose is a free Chrome extension that enables users to automate writing using AI.
"
1028,ConcertAI,concertai,,Applications - Industry,Life Sciences,United States,2017,$320M,https://www.concertai.com/,"ConcertAI specializes in integrated clinical RWD, AI solutions and outcomes science with a large RWD oncology dataset. ConcertAI develops a medical research tool suite that offers care-based oncology research and data analytics.
"
76,Conduktor,conduktor,,Infrastructure,Streaming/In-Memory,United States,2021,$20M,https://www.conduktor.io/,"Conduktor is a computer software company. It helps companies operate their data using Apache Kafka. It is based in Jackson, Wyoming.
"
68,Confluent,confluent,,Infrastructure,Streaming/In-Memory,United States,2014,$455.9M,https://www.confluent.io/,"Confluent (NASDAQ: CFLT) provides an Apache Kafka-based streaming platform for enterprises in industries such as retail, logistics, manufacturing, financial services, technology, and media to maximize the value of their data. Confluent Platform lets enterprises move data from isolated systems into a real-time data pipeline where they can act on it immediately.
"
624,Conjecture,conjecture,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,,,,https://www.conjecture.dev/,"
"
407,Contentsquare,contentsquare,,Analytics,Product Analytics,France,2012,$1412M,https://contentsquare.com/,"ContentSquare monitors touch and mouse movements on websites and apps to understand how these services are used. It leverages data to improve users' experience and increase engagement. Contentsquare helps brands everywhere transform the way they do business, allowing them to take action at enterprise scale and build customer trust with security, privacy and accessibility. Contentsquare was founded in 2012 and is based in Paris, France."
479,Continual,continual,,Machine Learning & Artificial Intelligence,Enterprise ML Platforms,United States,2019,$18.5M,https://continual.ai/,"Continual brings operational AI to the modern, warehouse-centric data stack. The company was founded in 2019 and is based in San Francisco, California."
800,ContractPodAI,contractpodai,,Applications - Enterprise,Legal,United Kingdom,2012,$170M,https://contractpodai.com/,"ContractPodAi offers an end-to-end solution offering contract management services including for contract generation, contract repository, and third-party review.
"
694,Conversica,conversica,,Applications - Enterprise,Sales,United States,2007,$135.5M,https://www.conversica.com/,"Conversica provides Intelligent Virtual Assistants for customer engagement. By automating routine business conversations and personalizing interactions at scale, Conversica augments the workforce allowing business professionals and AI Assistants to work together harmoniously. The flagship Conversica Sales AI Assistant helps companies find and secure customers more quickly and efficiently by automatically contacting, engaging, qualifying, and following up with leads via natural, multi-channel, and two-way conversations. With its library of purpose-built and ready-to-use conversational skills backed by its patented conversational AI platform, Conversica’s AI Assistants can be deployed quickly and are human-like and personal. Conversica was founded in 2007 and is based in Foster City, Califor"
149,Convex,convex,,Infrastructure,Database Abstraction,United States,2021,$0.1M,https://www.convex.dev/,"Convex offers a global state management platform for web developers. Its platform allows users to create their own projects, store and sync the app's shared state, and watch the app update with automatic subscriptions. It was founded in 2021 and is based in San Francisco, California."
716,Copy.ai,copy.ai,,Applications - Enterprise,Marketing,United States,2020,$16.82M,https://www.copy.ai/,"Copy.AI develops an artificial intelligence copywriter that enables users to create marketing copy in seconds.
"
727,Copysmith,copysmith,,Applications - Enterprise,Marketing,United States,2020,$10.1M,https://copysmith.ai/,"Copysmith provides a SaaS content creation platform to help in the process of writing content. The platform uses machine learning technology to understand human text and also features a built-in character counter for advertisements, landing pages, and plagiarism checkers. The company was founded in 2020 and is based in San Francisco, California."
883,Coqui,coqui,,Applications - Horizontal,Audio & Voice,Germany,2021,,https://coqui.ai/,"Coqui is a platform that provides open speech tech for its users.
"
412,Coralogix,coralogix,,Analytics,Log Analytics,United States,2014,$232.05M,https://coralogix.com/,"Coralogix provides an ML-powered log analytics platform that allows DevOps teams to autonomously manage and analyze log data in cloud applications. Engineers can narrow down hundreds of millions of logs to suspected logs, broken flows, error trends, and problematic version upgrades in order to reach time to market fast, avoid customer attrition, and accelerate their version delivery without compromising quality or stability. Coralogix allows DevOps and other engineering teams a way to observe and analyze data streams before they get indexed and/or sent to storage, giving them more flexibility to query the data in different ways and glean more insights faster. Coralogix was founded in 2014 and is based in San Francisco, California."
565,CoreML,coreml,,Machine Learning & Artificial Intelligence,Computer Vision,,,,https://developer.apple.com/machine-learning/core-ml/,"
"
1231,CoreNLP,corenlp,,Open Source Infrastructure,AI Frameworks & Libraries,,,,https://github.com/stanfordnlp/CoreNLP,"Stanford CoreNLP: A Java suite of core NLP tools.
"
662,CoreWeave,coreweave,,Machine Learning & Artificial Intelligence,GPU Cloud,United States,2017,$152.21M,https://www.coreweave.com/,"CoreWeave develops cloud infrastructure designed to supply projects and blockchain with computer power. The firm offers a solution that streamlines the team's operations. It also gives customers access to compute resources that are appropriate for the complexity of the models, allowing them to scale effectively and respond to fast-changing computing requirements. The company was founded in 2017 and is based in Springfield, New Jersey."
646,Cornami,cornami,,Machine Learning & Artificial Intelligence,AI Hardware,United States,2011,$153.29M,https://cornami.com/,"CORNAMI is a computing company that delivers a technology that efficiently exploits all forms of parallelism, including SIMD, MIMD, Dataflow. Pipelining, Neural Networks, Systolic Arrays, Cellular automata, etc. Cornami was founded in 2011 and is based in Campbell, California."
526,Cortex,cortex,,Machine Learning & Artificial Intelligence,MLOps,United States,2018,,https://www.cortex.dev/,"cortex provides containers as a service on AWS to deploy, manage, and scale containers without worrying about Kubernetes. It was founded in 2018 and is based in Oakland, California. On April 25th, 2022, cortex was acquired by Databricks. The terms of the transaction were not disclosed."
587,Cortical.io,cortical.io,,Machine Learning & Artificial Intelligence,NLP,Austria,2011,$21.2M,https://www.cortical.io/,"Cortical.io develops and commercializes Natural Language Understanding (NLU) solutions based on its proprietary Semantic Folding technology, which offers a fundamentally new approach to handling Big Text Data. Inspired by the latest findings on the way the brain processes information, Cortical.io represents language with highly efficient semantic fingerprints.
"
88,Couchbase,couchbase,,Infrastructure,NoSQL Databases,United States,2009,$248M,https://www.couchbase.com/,"Couchbase (NASDAQ:BASE) provides a scalable NoSQL database. The solution includes a shared nothing architecture, a single node-type, a built in caching layer, true auto-sharding and a NoSQL mobile offering: Couchbase Mobile, a NoSQL mobile solution comprised of Couchbase Server, Couchbase Sync Gateway and Couchbase Lite. Couchbase Server and all Couchbase Mobile products are open source projects.
"
1158,CouchDB,couchdb,,Open Source Infrastructure,Databases,,,,https://github.com/apache/couchdb,"Seamless multi-master syncing database with an intuitive HTTP/JSON API, designed for reliability
"
458,Count,count,,Machine Learning & Artificial Intelligence,Data Science Notebooks,United Kingdom,2016,$5.4M,https://count.co/,"Count develops a data platform that provides early-stage teams with tools to build data pipelines. It provides solutions for ad hoc analysis, data transformation, problem-solving, and reporting. The company was founded in 2016 and is based in London, U.K."
447,Coveo,coveo,,Analytics,Enterprise Search,Canada,2005,$341.75M,https://www.coveo.com/en,"Coveo uses AI and intelligent search technologies to personalize millions of digital experiences for customers, partners, dealers, and employees. Coveo combines unified content, unified interactions and machine learning to deliver relevant information and recommendations across every business interaction, making websites, commerce, contact centers, intranets and digital properties and apps effortless, content-rich and effective.
"
950,Cowbell,cowbell,,Applications - Industry,Finance & Insurance,United States,2019,$124.04M,https://cowbell.insure/,"Cowbell Cyber operates as a cyber risk insurance provider. The company delivers cyber insurance policies customized to the needs and identified risk exposures of each organization. It uses risk signals, artificial intelligence (AI), and technology to provide solutions to agents and brokers. It mainly serves small and medium-sized enterprises (SMEs). It was founded in 2019 and is based in Pleasanton, California."
854,Craftly AI,craftly ai,,Applications - Horizontal,Text,Canada,2021,,https://www.craftly.ai/,"Craftly.AI is a web-based artificial intelligence writing platform. It leverages natural language processing and machine learning to research and write original content. It was founded in 2021 and is based in Toronto, Canada."
893,Craiyon,craiyon,,Applications - Horizontal,Image,United States,2022,,https://www.craiyon.com/,"Craiyon is an AI image generator that can draw images from any text prompt. Craiyon was formerly known as DALL-E mini. The company was founded in 2022 and is based in Houston, Texas."
86,Crate.io,crate.io,,Infrastructure,NoSQL Databases,United States,2013,$29.11M,https://crate.io/,"Crate.io is a scalable real-time database for the machine data era, such as information from the Internet of Things that stores massive amounts of data over the cloud and provides it via SQL connections.
"
660,Credo,credo,,Machine Learning & Artificial Intelligence,AI Hardware,United States,2008,$165.36M,https://credosemi.com/,"Credo (NASDAQ: CRDO) provides high-performance serial connectivity solutions for the hyper-scale datacenter, 5G carrier, enterprise networking, AI, and high-performance computing markets."
743,Cresta,cresta,,Applications - Enterprise,Customer Experience,United States,2017,$151M,https://cresta.com/,"Cresta uses AI to turn sales and service agents into experts on day one, elevating the customer experience and growing the business. The company codifies the psychology, behavior, and language that top contact center agents use to achieve successful outcomes. Once this expertise is learned, Cresta re-distributes it to every agent in real-time, effectively turning every agent into an immediate expert.
"
280,Cribl,cribl,,Infrastructure,MGMT/Monitoring,United States,2017,$392.41M,https://cribl.io/,"Cribl is a company focusing on making open observability a reality for tech professionals. The Cribl product suite defies data gravity with choice and control by delivering the freedom and flexibility to make choices rather than compromises. With Cribl, companies have the power to control their data, get more out of existing investments, and shape the observability future. The Cribl product suite is used by clients across industries spanning financial services, healthcare, retail, manufacturing, and more. Cribl was founded in 2017 and is based in San Francisco, California."
1071,Crisp,crisp,,Applications - Industry,Industrial & Logistics,United States,2018,$61.2M,https://www.gocrisp.com/,"Crisp provides a platform that uses data available to create a precise forecast for suppliers, food brands, retailers and distributors in order to optimize profitability and drive production efficiency. The company offers a platform that connects and analyzes retail data across the supply chain. Crisp serves suppliers, distributors, retailers and agencies in the global food industry. The company was formerly known as Motiion and changed it's name to Crisp. Crisp was founded in 2018 and is based in Brooklyn, New York."
809,crossbeam,crossbeam,,Applications - Enterprise,Partnerships,United States,2018,$116.85M,https://www.crossbeam.com/,"Crossbeam is a collaborative intelligence platform that helps companies build more valuable partnerships. It serves as an escrow service for data, allowing companies to find overlapping customers and prospects while keeping the rest of their data private and secure. The company was founded in 2018 and is based in Philadelphia, Pennsylvania."
1040,Cruise,cruise,,Applications - Industry,Transportation,United States,2013,$11918.8M,https://getcruise.com/,"Cruise Automation makes automated driving technology. Cruise has built a highway autopilot system that installs on existing vehicles. It uses sensors and machine vision technology to keep users in their lane and a safe distance from the car in front of them. The company was founded in 2013 and is based in San Francisco, California. On March 20th, 2022, General Motors acquired a majority stake in Cruise Automation at a valuation between $19B to $30B."
195,Crux Data,crux data,,Infrastructure,Data Integration,United States,2017,$116M,https://www.cruxdata.com/,"Crux Informatics offers data engineering and information supply chain operation services that aim to help companies reduce the effort and money spent acquiring, exploring, and processing data. It implements and operates the data processing pipelines they create for its customers' requirements. It delivers solutions such as cloud migration, supply chain, and data integration solutions. The company was founded in 2017 and is based in San Francisco, California."
628,CSM,csm,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2020,,https://csm.ai/,"Common Sense Machines provides APIs, interfaces, and open-source software to translate multi-modal inputs and experiences into a digital simulator for AI training and content creation. The company was founded in 2020 and is based in Cambridge, Massachusetts."
929,CSM,csm,,Applications - Horizontal,Animation & 3D,United States,2020,,https://csm.ai/,"Common Sense Machines provides APIs, interfaces, and open-source software to translate multi-modal inputs and experiences into a digital simulator for AI training and content creation. The company was founded in 2020 and is based in Cambridge, Massachusetts."
363,Cube,cube,,Analytics,Data Analyst Platforms,United States,2019,$21.7M,https://cube.dev/,"Cube Dev is a developer framework for building analytics applications. It provides a complete backend API platform over the raw data while giving full customization and flexibility on the frontend.
"
